# estas son cosas que se dijeron en clase que no entendí.
南瓜        nánguā        pumpkin
冬瓜        dōngguā        winter melon
黄瓜        huángguā        cucumber
名词        míngcí        noun
谁想试一试说一个句子?        shéi xiǎng shìyìshì shuō yígè jùzi?        Who wants to try saying a sentence?
蛋        dàn        egg
糕        gāo        pastry / cake
大家知道吗？        dàjiā zhīdào ma?        Does everyone know?
样        yàng        kind / type / way
如果是这样的蛋糕。。。        rúguǒ shì zhèyàng de dàngāo...        If it’s this kind of cake...
一块蛋糕        yíkuài dàngāo        one slice of cake
一块西瓜        yíkuài xīguā        one slice of watermelon
那现在我想请一个同学用蛋糕问一个问题。        nà xiànzài wǒ xiǎng qǐng yígè tóngxué yòng dàngāo wèn yígè wèntí.        So now I want to ask a classmate to ask a question using cake.
你们觉得蛋糕太甜了吗？        nǐmen juédé dàngāo tài tián le ma?        Do you think the cake is too sweet?
听说过        tīngshuōguò        have heard of / heard about
一个西瓜        yígè xīguā        one watermelon
一个冬瓜        yígè dōngguā        one winter melon
一个黄瓜        yígè huángguā        one cucumber
一个蛋糕        yígè dàngāo        one cake
一块蛋糕        yíkuài dàngāo        one slice of cake
一张票        yìzhāng piào        one ticket
你有没有买票？        nǐ yǒu méiyǒu mǎi piào?        Did you buy a ticket?
请大家用中文说一说谁是阿姨？        qǐng dàjiā yòng Zhōngwén shuō yìshuō shéi shì āyí?        Please everyone say in Chinese who the auntie is.
下一个词        xià yígè cí        next word
请一个同学用中文说一说同事是谁？        qǐng yígè tóngxué yòng Zhōngwén shuō yìshuō tóngshì shì shéi?        Please ask a classmate to say in Chinese who a coworker is.
现在我们看一看这里有三个人（阿姨，同事，同学），请你选词，一个人来介绍。        xiànzài wǒmen kàn yí kàn zhèlǐ yǒu sān gè rén (āyí, tóngshì, tóngxué), qǐng nǐ xuǎn cí, yígè rén lái jièshào.        Now let’s look: here there are three people (auntie, coworker, classmate), please choose the word and let one person introduce.
那你介绍你的猫！        nà nǐ jièshào nǐ de māo!        Then introduce your cat!
继续        jìxù        continue
那我们继续        nà wǒmen jìxù        then let’s continue
大家明白了吗？        dàjiā míngbái le ma?        Does everyone understand?
明白        míngbái        understand
同意吗？        tóngyì ma?        Do you agree?
谁结婚了？        shéi jiéhūn le?        Who got married?
你结婚结得早吗？        nǐ jiéhūn jié de zǎo ma?        Did you get married early?
我是一个宝宝        wǒ shì yígè bǎobao        I am a baby
我搬过大概5次家。        wǒ bān guò dàgài wǔ cì jiā.        I’ve moved about five times.
你最好的朋友结婚了吗？        nǐ zuì hǎo de péngyou jiéhūn le ma?        Did your best friend get married?
你最好的朋友和谁结婚了？        nǐ zuì hǎo de péngyou hé shéi jiéhūn le?        Who did your best friend marry?
我想再搬家        wǒ xiǎng zài bānjiā        I want to move again
因为中国非常棒        yīnwèi Zhōngguó fēicháng bàng        because China is amazing
